gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2566053571	da3542b4-9a73-4054-b9a3-2d762e172199	c1849904-f762-415c-a5d3-d70f234968e7	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora terrestris		SPECIES	Thelephora terrestris Ehrh.	Thelephora terrestris Ehrh.	Ehrh.	US	Hawaii		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													2522935	2522935	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:08.097Z		
2566053570	da3542b4-9a73-4054-b9a3-2d762e172199	79345045-9aa2-4c64-8b36-d81e445027bb	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Xerocomus	Xerocomus hortonii		SPECIES	Leccinum hortonii (A.H.Sm. & Thiers) Hongo & Nagas.	Leccinum hortonii (A.H. Sm. & Thiers) Hongo & Nagas.	(A.H. Sm. & Thiers) Hongo & Nagas.	CN	Xizang		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													3354406	3301218	UNKNOWN							CC_BY_4_0					2021-03-09T09:43:07.715Z		
2566053569	da3542b4-9a73-4054-b9a3-2d762e172199	16272f78-e265-4e30-a7d8-30f135fef14e	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Pyrrhoderma	Pyrrhoderma noxium		SPECIES	Phellinus noxius (Corner) G.Cunn.	Phellinus noxius (Corner) G. Cunn	(Corner) G. Cunn	TW	Taiwan		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													2520109	10882566	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:08.171Z		
2566053568	da3542b4-9a73-4054-b9a3-2d762e172199	e3720420-d20b-49a8-9b97-fbd2bad1dc4d	Fungi	Basidiomycota	Agaricomycetes	Hysterangiales	Hysterangiaceae	Hysterangium	Hysterangium crassum		SPECIES	Hysterangium crassum (Tul. & C.Tul.) E.Fisch.	Hysterangium crassum (Tul. & C. Tul.) E. Fisch.	(Tul. & C. Tul.) E. Fisch.	US	Colorado		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a									1983-01-01T00:00:00			1983	3352054	3352054	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.529Z		
2566053567	da3542b4-9a73-4054-b9a3-2d762e172199	cea2d91f-e3a3-4a6d-b340-19b794606c3a	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Pyrrhoderma	Pyrrhoderma noxium		SPECIES	Phellinus noxius (Corner) G.Cunn.	Phellinus noxius (Corner) G. Cunn	(Corner) G. Cunn	NU	Niue		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													2520109	10882566	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:08.182Z		
2566053566	da3542b4-9a73-4054-b9a3-2d762e172199	7c407f37-8b81-4e34-bad9-5a5b65b9491d	Fungi	Basidiomycota	Agaricomycetes	Boletales	Sclerodermataceae	Scleroderma	Scleroderma dictyosporum		SPECIES	Scleroderma dictyosporum Pat.	Scleroderma dictyosporum Pat.	Pat.	TZ	Tanzania, United Republic of		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													5239955	5239955	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.323Z		
2566053565	da3542b4-9a73-4054-b9a3-2d762e172199	17b1ea48-f474-42d8-8ace-83f6d5bc6585	Fungi	Basidiomycota	Agaricomycetes	Boletales	Diplocystidiaceae	Astraeus	Astraeus hygrometricus		SPECIES	Astraeus hygrometricus (Pers.) Morgan	Astraeus hygrometricus (Pers.) Morgan	(Pers.) Morgan	AR	Argentina		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													5239766	5239766	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.589Z		
2566053564	da3542b4-9a73-4054-b9a3-2d762e172199	5ad636d8-c9b1-4653-ad8b-6e9289c6b2c3	Fungi	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Lysurus	Lysurus mokusin		SPECIES	Lysurus mokusin (L.) Fr.	Lysurus mokusin (L.) Fr.	(L.) Fr.	IT	Italy		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													8697118	8697118	UNKNOWN							CC_BY_4_0					2021-03-09T09:43:08.007Z		
2566053563	da3542b4-9a73-4054-b9a3-2d762e172199	b9f70b5a-3169-48f9-8517-8839b9bb285c	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita phalloides		SPECIES	Amanita phalloides (Vaill. ex Fr.) Link	Amanita phalloides (Vaill. ex Fr.) Link	(Vaill. ex Fr.) Link	CA	British Columbia		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a									2002-01-01T00:00:00			2002	5240325	5240325	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.501Z		
2566053562	da3542b4-9a73-4054-b9a3-2d762e172199	c271465e-e3af-4e1a-84d1-32cce398253f	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora terrestris		SPECIES	Thelephora terrestris Ehrh.	Thelephora terrestris Ehrh.	Ehrh.	BR	Parana		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													2522935	2522935	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.742Z		
2566053561	da3542b4-9a73-4054-b9a3-2d762e172199	af4cddf3-b483-49eb-84b8-cef464c88fc6	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Pyrrhoderma	Pyrrhoderma noxium		SPECIES	Phellinus noxius (Corner) G.Cunn.	Phellinus noxius (Corner) G. Cunn	(Corner) G. Cunn	AS	American Samoa		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													2520109	10882566	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:08.194Z		
2566053560	da3542b4-9a73-4054-b9a3-2d762e172199	a7889fdf-2f8b-49f5-9f3c-3ecc662c9c89	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita phalloides		SPECIES	Amanita phalloides (Vaill. ex Fr.) Link	Amanita phalloides (Vaill. ex Fr.) Link	(Vaill. ex Fr.) Link	US	North Carolina		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a									1934-01-01T00:00:00			1934	5240325	5240325	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:08.182Z		
2566053559	da3542b4-9a73-4054-b9a3-2d762e172199	3d8b5245-5de9-459a-aa2b-46e89e9c6760	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Pyrrhoderma	Pyrrhoderma noxium		SPECIES	Phellinus noxius (Corner) G.Cunn.	Phellinus noxius (Corner) G. Cunn	(Corner) G. Cunn	SL	Sierra Leone		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													2520109	10882566	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:08.054Z		
2566053558	da3542b4-9a73-4054-b9a3-2d762e172199	ebc39fe5-9f53-4d0f-a48d-4bbe6a42b18f	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Hydnangium	Hydnangium carneum		SPECIES	Hydnangium carneum Wallr.	Hydnangium carneum Wallr.	Wallr.	NO	Norway		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a													2530904	2530904	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:07.632Z		
2566053557	da3542b4-9a73-4054-b9a3-2d762e172199	c69184f1-e4d7-43de-b7b7-4fa2783ea245	Fungi	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Clathrus	Clathrus ruber		SPECIES	Clathrus ruber P.Micheli ex Pers.	Clathrus ruber P. Micheli ex Pers.	P. Micheli ex Pers.	DE	Germany		PRESENT		37560003-ae75-43c3-95aa-48c98797aa2a									1752-01-01T00:00:00			1752	5239476	5239476	UNKNOWN							CC_BY_4_0				INTRODUCED	2021-03-09T09:43:08.166Z		
